"API Error during download: {0}","Lỗi API khi tải xuống: {0}"
"API Error resolving share link: {0}","Lỗi API khi phân giải liên kết chia sẻ: {0}"
"Action By","Người thực hiện"
"Action Taken","Hành động đã thực hiện"
"Action Timestamp","Thời gian thực hiện"
"Actions for file: {0}","Các hành động cho tệp: {0}"
"An error occurred during SharePoint upload. Check server logs.","Đã xảy ra lỗi trong quá trình tải lên SharePoint. Kiểm tra nhật ký máy chủ."
"An error occurred while trying to download the file. Check server logs.","Đã xảy ra lỗi khi cố gắng tải xuống tệp. Kiểm tra nhật ký máy chủ."
"Approval Details","Chi tiết phê duyệt"
"Assignee","Người được giao"
"Attach Document","Đính kèm Công văn"
"Attach File","Đính kèm tệp"
"Attach/Link SharePoint File","Đính kèm/Liên kết tệp SharePoint"
"Back to Parent Folder","Quay lại thư mục cha"
"Base Folder Path","Đường dẫn thư mục gốc"
"Clear Selection / Upload","Xóa lựa chọn / Tải lên"
"Contents","Nội dung"
"Could not extract necessary details ({0}) from the shared link response.","Không thể trích xuất chi tiết cần thiết ({0}) từ phản hồi liên kết chia sẻ."
"Could not fetch SharePoint link for the selected file. Document creation aborted. Path: {0}","Không thể lấy liên kết SharePoint cho tệp đã chọn. Việc tạo Công văn đã bị hủy bỏ. Đường dẫn: {0}"
"Could not retrieve details for the selected SharePoint item.","Không thể truy xuất chi tiết cho mục SharePoint đã chọn."
"Could not retrieve file details for upload.","Không thể truy xuất chi tiết tệp để tải lên."
"Could not retrieve file details necessary for download.","Không thể truy xuất chi tiết tệp cần thiết để tải xuống."
"Create Incoming Document","Tạo Công văn đến"
"Create Outgoing Document","Tạo Công văn đi"
"Current Location:","Vị trí hiện tại:"
"Current Path Contents","Nội dung đường dẫn hiện tại"
"Date Issued","Ngày ban hành"
"Date Received","Ngày nhận"
"Document Details","Chi tiết Công văn"
"Document Management","Quản lý Công văn"
"Document Management Settings","Cài đặt quản lý Công văn"
"Document Manager","Người quản lý Công văn"
"Document Task","Nhiệm vụ Công văn"
"Document Task Assignee","Người được giao nhiệm vụ Công văn"
"Document Type Name","Tên loại Công văn"
